count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma,tasks
21,0,61,50,323.624,16.093,47.135,65.207,175.194,119.649,5.24550898203593,6.81362725450902,noparadigm
22,0,64,23,2094.148,266.869,5.739,18.051,51.795,46.446,32.4660678642715,16.5681362725451,noparadigm
23,0,77,23,14.288,7.391,1.446,0.561,1.035,1.411,0.846307385229541,1.13827655310621,noparadigm
24,0,81,27,194.112,70.904,11.069,14.868,11.235,14.516,5.05688622754491,2.98797595190381,noparadigm
25,0,61,17,1681.431,207.778,17.362,35.771,35.657,26.664,9.81636726546906,14.1422845691383,noparadigm
26,0,64,57,2074.603,81.685,88.852,52.278,9.91,50.499,3.85928143712575,6.89278557114228,noparadigm
27,0,48,61,39.515,21.986,3.525,3.51,1.251,0.818,0.421157684630739,0.485971943887776,noparadigm
28,0,43,80,35.299,21.366,14.578,12.799,3.706,4.378,1.13872255489022,1.75851703406814,noparadigm
29,0,26,83,605.664,98.043,17.252,7.544,8.665,2.391,2.54491017964072,0.799599198396794,noparadigm
30,0,11,69,319.141,38.969,5.813,10.502,1.601,2.612,3.70558882235529,3.45090180360721,noparadigm
31,0,29,69,21.131,21.531,4.662,3.692,4.445,4.73,1.33532934131737,2.75450901803607,noparadigm
32,0,35,74,769.155,23.612,17.12,36.81,9.492,12.416,9.47105788423154,8.3436873747495,noparadigm
33,0,57,87,504.61,228.597,179.965,46.854,34.342,113.299,28.0888223552894,20.0841683366733,noparadigm
34,0,87,83,424.677,40.814,12.152,30.097,28.132,72.346,46.5349301397206,20.0931863727455,noparadigm
35,0,77,80,877.693,1003.546,188.588,100.167,117.05,66.851,55.3512974051896,45.8607214428858,noparadigm
36,0,78,38,1642.293,364.634,18.413,10.98,24.558,74.803,13.372255489022,26.809619238477,noparadigm
37,0,60,10,1243.225,1435.964,35.663,90.236,82.507,57.673,19.1057884231537,10.1603206412826,noparadigm
38,0,53,20,841.628,83.433,10.288,126.567,52.255,94.501,15.9560878243513,5.125250501002,noparadigm
39,0,67,14,275.715,56.353,3.894,11.716,30.279,18.541,19.8932135728543,8.35470941883768,noparadigm
40,0,67,40,2263.339,333.722,139.329,45.143,60.135,97.254,29.9630738522954,13.7164328657315,noparadigm
41,0,81,56,1484.905,290.856,43.974,77.781,95.867,71.714,24.2844311377245,5.78256513026052,noparadigm
42,0,70,51,53.124,12.258,3.114,3.695,2.912,2.911,2.99500998003992,2.77855711422846,noparadigm
43,0,66,64,879.051,116.293,24.792,44.153,19.462,30.682,7.79640718562874,1.91983967935872,noparadigm
44,0,57,41,111.531,169.124,11.236,6.096,55.182,12.949,22.0528942115768,2.43486973947896,noparadigm
45,0,47,35,446.242,95.412,15.075,4.532,6.554,6.196,2.31037924151697,3.08416833667335,noparadigm
46,0,43,27,884.055,28.025,7.21,1.672,5.842,4.442,6.51197604790419,1.82865731462926,noparadigm
47,0,29,10,145.527,31.667,2.899,1.596,1.304,1.401,0.828343313373254,0.359719438877756,noparadigm
48,0,30,14,1052.582,283.579,6.371,24.529,23.054,27.025,16.8493013972056,5.73947895791583,noparadigm
49,0,51,23,35.601,9.844,4.329,3.201,7.027,7.031,3.24151696606786,2.46292585170341,noparadigm
50,0,37,8,88.176,312.263,12.876,14.309,7.929,8.104,11.186626746507,1.64228456913828,noparadigm
51,0,61,21,11.669,7.785,2.379,3.849,2.309,6.847,2.8562874251497,4.93787575150301,noparadigm
52,0,60,30,191.533,124.851,18.458,7.572,6.804,11.684,24.0279441117764,3.86072144288577,noparadigm
53,0,44,50,1082.911,56.299,64.797,44.494,23.504,14.502,20.4500998003992,7.04008016032064,noparadigm
54,0,70,64,1058.957,80.074,22.508,13.908,27.87,41.098,17.4930139720559,8.1062124248497,noparadigm
55,0,61,63,66.699,9.598,2.512,1.501,0.344,2.466,1.19660678642715,1.02705410821643,noparadigm
56,0,84,66,1729.448,10.449,9.966,9.633,48.406,31.042,19.1407185628743,17.7925851703407,noparadigm
57,0,87,47,8.328,27.85,7.73,2.854,4.678,4.232,4.35229540918164,3.91382765531062,noparadigm
58,0,74,48,1039.901,88.698,21.079,3.669,3.573,9.219,7.01397205588822,1.92885771543086,noparadigm
59,0,77,61,16.032,4.162,4.957,2.828,2.021,3.359,6.27544910179641,1.64128256513026,noparadigm
60,0,51,60,104.441,21.55,1.3,4.582,5.527,1.991,1.50199600798403,1.10220440881764,noparadigm
61,0,54,66,1245.936,141.569,55.465,34.772,10.548,40.553,15.5778443113772,5.51803607214429,noparadigm
62,0,54,80,372.007,7.436,4.352,1.75,1.299,1.21,1.13173652694611,0.440881763527054,noparadigm
63,0,63,66,5.631,5.413,2.622,4.029,3.197,8.43,8.2624750499002,1.9188376753507,noparadigm
64,0,66,64,159.336,109.373,12.493,12.821,11.029,15.595,4.20459081836327,8.22244488977956,noparadigm
65,0,57,44,847.119,156.93,14.373,5.808,5.514,9.81,5.3812375249501,2.67234468937876,noparadigm
66,0,54,38,160.9,19.425,6.418,2.56,1.308,1.821,1.02195608782435,0.57815631262525,noparadigm
67,0,30,40,226.216,19.576,5.143,5.763,5.752,1.845,1.20958083832335,1.48196392785571,noparadigm
68,0,30,50,422.472,66.931,5.16,25.211,5.008,11.299,17.6646706586826,14.9729458917836,noparadigm
69,0,53,67,2.254,3.397,2.478,3.352,3.953,5.966,3.27245508982036,2.9749498997996,noparadigm
70,0,61,67,6.548,29.043,1.801,12.681,4.034,6.965,2.31936127744511,2.4188376753507,noparadigm
71,0,64,61,894.722,166.65,22.497,27.216,16.35,17.78,10.4451097804391,4.77955911823647,noparadigm
72,0,51,63,1632.057,563.88,204.468,33.316,16.025,24.759,9.51297405189621,11.2124248496994,noparadigm
73,0,38,61,42.509,34.702,11.606,7.888,7.04,7.743,8.45109780439122,6.00801603206413,noparadigm
74,0,38,64,40.285,24.092,15.55,4.309,7.483,7.024,4.29241516966068,3.00701402805611,noparadigm
75,0,38,77,60.688,31.387,9.891,13.105,7.171,4.336,3.65369261477046,5.13326653306613,noparadigm
76,0,51,67,219.814,10.337,0.864,1.764,1.264,1.469,0.698602794411178,0.681362725450902,noparadigm
77,0,48,64,299.93,137.477,29.106,17.251,6.11,18.875,5.8373253493014,2.40881763527054,noparadigm
78,0,66,37,331.318,26.669,2.422,7.966,35.227,73.974,18.2714570858283,29.9549098196393,noparadigm
79,0,64,23,186.777,232.887,30.012,26.936,17.721,25.2,25.9750499001996,15.2114228456914,noparadigm
80,0,63,16,191.318,45.381,7.334,0.225,3.595,6.328,4.70159680638723,2.85470941883768,noparadigm
81,0,56,23,428.97,229.566,128.717,6.387,15.648,26.125,6.79141716566866,11.3166332665331,noparadigm
82,0,38,34,1392.463,81.439,12.095,6.698,25.206,21.22,9.34630738522954,8.84769539078156,noparadigm
83,0,37,40,88.555,68.075,22.126,4.13,12.983,5.719,2.33832335329341,2.50400801603206,noparadigm
84,0,35,64,75.953,8.35,7.172,2.519,1.218,1.904,3.45309381237525,0.786573146292585,noparadigm
85,0,41,37,792.031,118.054,5.633,2.813,21.782,20.471,20.8273453093812,8.94589178356713,noparadigm
86,0,37,35,586.343,33.193,1.679,3.259,1.005,3.846,2.91317365269461,1.2184368737475,noparadigm
87,0,24,20,150.191,40.791,2.551,1.524,1.591,0.735,1.75748502994012,0.43186372745491,noparadigm
88,0,24,3,752.96,128.419,24.482,8.623,8.467,15.296,6.77844311377245,3.8627254509018,noparadigm
89,0,11,27,1981.024,184.332,36.623,27.709,18.803,9.208,13.9101796407186,7.6122244488978,noparadigm
90,0,37,80,26.61,7.903,7.185,2.244,6.778,4.357,0.739520958083832,1.77955911823647,noparadigm
91,0,44,84,2.8,15.543,3.653,3.782,0.991,5.545,4.39221556886228,0.94188376753507,noparadigm
92,0,44,81,58.561,25.601,5.052,1.788,1.323,1.079,0.905189620758483,0.671342685370741,noparadigm
93,0,44,60,21.403,84.305,10.681,8.543,5.836,15.985,14.2165668662675,8.46793587174349,noparadigm
94,0,41,56,590.042,88.346,14.846,39.965,15.702,22.762,8.03792415169661,9.0,noparadigm
95,0,41,63,10.589,8.825,4.811,4.578,4.84,3.89,7.84031936127745,1.77154308617234,noparadigm
96,0,51,75,27.886,17.129,6.102,9.59,6.126,4.323,2.67664670658683,1.56713426853707,noparadigm
97,0,51,75,203.393,39.354,4.255,8.143,16.486,7.456,3.14471057884232,1.86573146292585,noparadigm
98,0,47,78,496.226,213.822,106.565,52.637,63.691,31.802,20.9690618762475,12.2074148296593,noparadigm
99,0,40,67,123.351,176.942,40.593,16.977,16.097,24.648,8.09081836327345,3.51002004008016,noparadigm
100,0,41,64,258.842,51.445,28.117,3.806,5.056,11.932,1.74251497005988,8.79859719438878,noparadigm
101,0,40,75,10.211,15.295,6.248,2.631,2.918,3.078,3.29640718562874,8.98396793587174,noparadigm
102,0,38,54,184.52,33.206,2.977,2.148,5.622,2.833,2.99001996007984,1.47995991983968,noparadigm
103,0,30,51,610.315,587.319,82.93,43.409,72.612,27.138,40.8263473053892,37.2024048096192,noparadigm
104,0,29,53,116.136,12.478,1.481,9.259,3.429,2.754,5.23053892215569,3.10921843687375,noparadigm
105,0,21,43,75.045,48.542,6.947,3.657,2.3,3.368,3.88423153692615,1.86172344689379,noparadigm
106,0,24,53,68.423,17.603,5.126,0.501,2.256,2.585,1.81936127744511,1.69438877755511,noparadigm
107,0,38,67,385.902,31.77,5.013,20.094,1.741,10.714,6.03592814371257,7.44689378757515,noparadigm
108,0,48,75,39.37,5.215,6.833,5.928,2.975,7.11,3.5998003992016,6.63527054108216,noparadigm
109,0,53,78,77.447,52.702,6.105,10.909,5.978,7.076,13.0698602794411,7.80761523046092,noparadigm
110,0,47,88,95.811,64.919,12.001,27.726,8.77,5.456,2.13273453093812,5.70140280561122,noparadigm
111,0,41,67,97.516,42.965,0.377,7.318,5.34,5.927,3.03792415169661,7.43486973947896,noparadigm
112,0,40,53,289.727,20.433,4.222,7.892,10.137,9.43,3.55389221556886,5.22144288577154,noparadigm
113,0,48,60,101.232,18.693,12.674,1.767,5.665,8.783,2.52794411177645,6.7565130260521,noparadigm
114,0,43,29,118.521,109.871,1.962,2.343,15.518,3.364,9.48403193612774,6.11723446893788,noparadigm
115,0,41,40,454.51,91.685,14.732,11.432,4.757,11.298,6.60379241516966,6.93887775551102,noparadigm
116,0,23,34,41.673,33.203,4.318,0.621,1.171,1.065,1.77644710578842,1.48396793587174,noparadigm
117,0,16,37,1618.385,304.401,140.73,39.797,63.001,57.841,53.2225548902196,21.3366733466934,noparadigm
118,0,24,51,338.663,190.448,10.77,14.152,19.769,15.403,8.32335329341317,4.1312625250501,noparadigm
119,0,24,44,1426.298,278.1,21.436,34.816,91.172,37.904,40.4810379241517,32.7885771543086,noparadigm
120,0,35,51,77.605,52.174,4.907,9.436,2.2,7.046,1.52395209580838,1.22444889779559,noparadigm
121,0,38,35,312.004,225.997,10.244,21.297,43.613,44.448,22.9880239520958,4.87875751503006,noparadigm
122,0,47,41,61.766,53.952,10.684,9.432,24.096,17.765,13.2035928143713,3.36673346693387,noparadigm
123,0,51,44,819.573,139.432,4.2,27.223,12.647,33.136,11.7075848303393,6.00100200400802,noparadigm
124,0,51,47,213.887,64.171,4.196,24.064,19.253,7.744,8.64770459081836,3.10721442885772,noparadigm
125,0,54,57,2067.328,175.654,0.997,98.178,85.11,71.159,68.2395209580838,39.9338677354709,noparadigm
126,0,53,64,1231.292,62.501,29.247,1.183,8.077,19.642,12.9550898203593,4.9188376753507,noparadigm
127,0,43,69,479.6,379.047,74.144,58.835,75.254,28.69,11.9670658682635,13.3657314629259,noparadigm
128,0,41,81,316.016,70.896,34.034,34.649,8.423,11.065,8.86127744510978,5.21142284569138,noparadigm
129,0,34,81,213.883,152.793,17.021,40.617,39.895,16.399,27.9211576846307,7.64829659318637,noparadigm
130,0,30,74,399.8,79.515,9.196,7.473,15.892,15.596,13.0708582834331,5.51102204408818,noparadigm
131,0,44,80,1090.486,112.062,69.501,29.957,37.171,57.19,37.1217564870259,11.9108216432866,noparadigm
132,0,51,61,248.794,41.273,6.422,3.151,4.931,8.278,7.50199600798403,4.77454909819639,noparadigm
133,0,54,61,57.854,8.606,0.402,3.358,3.064,1.501,1.5998003992016,0.279559118236473,noparadigm
134,0,66,66,44.468,22.694,5.021,8.341,8.493,27.122,9.39321357285429,4.87575150300601,noparadigm
135,0,64,54,231.971,71.772,14.739,2.207,5.181,19.327,6.44111776447106,1.54809619238477,noparadigm
136,0,60,64,94.271,15.194,4.624,2.624,1.755,2.019,2.33632734530938,1.20140280561122,noparadigm
137,0,53,66,1644.276,835.002,319.122,31.013,49.256,61.78,42.374251497006,23.5380761523046,noparadigm
138,0,37,61,549.06,81.328,4.897,8.736,6.336,9.228,6.56686626746507,2.79458917835671,noparadigm
139,128,0,0,5.87747175411144E-42,5.87747175411144E-42,5.87747175411144E-42,5.87747175411144E-42,5.87747175411144E-42,5.87747175411144E-42,5.86574027356431E-42,5.88925025462068E-42,noparadigm
140,0,37,61,3337.357,180.571,35.465,18.05,12.468,54.371,20.686626746507,15.8907815631263,noparadigm
141,0,38,69,77.629,17.649,11.835,5.023,3.314,3.589,8.99301397205589,2.01102204408818,noparadigm
142,0,43,57,513.2,90.955,9.392,5.965,20.723,10.051,4.12674650698603,2.85470941883768,noparadigm
143,0,44,77,1935.348,252.231,206.911,65.682,111.712,69.019,67.4111776447106,34.2054108216433,noparadigm
144,0,35,87,1136.24,168.139,68.765,44.099,21.268,23.656,26.0189620758483,16.7825651302605,noparadigm
145,0,41,74,305.57,198.002,31.871,39.882,22.581,65.037,19.0229540918164,12.5430861723447,noparadigm
146,0,41,80,639.268,46.378,9.589,3.042,4.744,5.462,9.31137724550898,4.79959919839679,noparadigm
147,0,30,57,595.322,614.759,53.303,10.439,10.127,24.714,31.2275449101796,9.24248496993988,noparadigm
148,0,30,41,932.775,124.856,4.343,14.976,16.342,12.843,19.3522954091816,9.12725450901804,noparadigm
149,0,26,37,723.395,137.263,9.4,16.428,8.757,16.531,34.8383233532934,6.43787575150301,noparadigm
150,0,27,53,192.79,15.183,1.373,17.955,1.095,4.106,3.26447105788423,1.66032064128257,noparadigm
151,0,43,81,653.767,34.054,43.746,40.608,23.483,23.335,9.74750499001996,5.33366733466934,noparadigm
152,0,40,90,266.552,192.563,44.585,10.942,11.36,14.94,12.7405189620758,7.48196392785571,noparadigm
153,0,34,94,1342.464,129.246,20.419,15.144,23.759,8.21,20.563872255489,2.83667334669339,noparadigm
154,0,29,75,229.548,39.276,5.792,3.273,3.628,3.963,3.61676646706587,0.509018036072144,noparadigm
155,0,37,63,1208.183,27.566,18.548,7.632,7.633,24.045,10.0728542914172,6.62625250501002,noparadigm
156,0,38,47,640.923,717.007,18.338,34.504,33.797,50.0,25.3353293413174,4.8877755511022,noparadigm
157,0,44,47,1634.135,110.743,15.904,6.518,4.546,25.165,10.6526946107784,4.3877755511022,noparadigm
158,0,35,37,2116.829,267.48,50.786,8.746,26.722,43.397,24.3293413173653,7.4438877755511,noparadigm
159,0,40,56,1296.213,389.507,131.317,44.69,2.3,70.179,85.8872255489022,17.0711422845691,noparadigm
160,0,51,57,262.065,83.578,7.599,30.364,6.002,27.287,8.10578842315369,8.86673346693387,noparadigm
161,0,53,64,2049.469,181.359,19.563,71.538,110.175,65.235,25.9171656686627,19.1673346693387,noparadigm
162,0,53,83,2310.314,155.917,52.481,147.033,51.872,42.263,29.4770459081836,13.9519038076152,noparadigm
163,0,60,84,1539.32,24.882,11.442,6.992,12.948,12.612,7.44311377245509,3.79859719438878,noparadigm
164,0,53,90,355.779,52.316,7.555,29.559,18.103,8.726,5.90119760479042,4.02805611222445,noparadigm
165,0,54,96,848.231,75.841,27.34,32.75,16.129,33.718,11.8822355289421,8.74749498997996,noparadigm
166,0,50,91,173.608,18.4,8.988,3.593,3.091,2.722,1.10578842315369,0.754509018036072,noparadigm
167,0,50,88,747.52,17.344,3.44,7.198,12.618,7.014,3.30239520958084,1.92785571142285,noparadigm
168,0,47,80,724.494,44.755,3.535,9.983,6.536,4.88,4.39820359281437,1.23346693386774,noparadigm
169,0,37,83,72.972,3.742,0.65,2.716,1.037,0.506,0.288423153692615,5.31062124248497E-2,noparadigm
170,0,50,70,961.778,16.187,5.58,1.965,8.795,8.593,5.69960079840319,8.64929859719439,noparadigm
171,0,29,47,144.492,121.394,2.434,2.153,8.473,3.04,1.35728542914172,0.62625250501002,noparadigm
172,0,26,48,1183.081,137.701,18.188,27.116,15.551,11.18,4.65369261477046,8.22244488977956,noparadigm
173,0,30,35,325.046,34.432,1.329,8.283,2.834,5.382,2.47205588822355,0.422845691382766,noparadigm
174,0,43,29,1.23,4.096,1.578,0.918,2.51,10.235,0.722554890219561,1.17535070140281,noparadigm
175,0,44,51,55.214,62.728,10.193,5.48,4.744,2.254,1.57185628742515,1.17134268537074,noparadigm
176,0,43,34,261.967,88.538,3.702,1.025,4.926,4.373,2.47305389221557,1.09018036072144,noparadigm
177,0,50,35,12.396,8.604,2.943,1.86,4.95,3.565,5.20459081836327,1.19739478957916,noparadigm
178,0,26,44,66.035,16.904,3.852,2.934,2.491,2.277,0.769461077844311,0.422845691382766,noparadigm
179,0,26,37,100.931,113.095,7.621,6.108,7.368,3.817,4.06387225548902,0.668336673346693,noparadigm
180,0,40,67,146.851,9.728,11.272,2.489,2.583,6.12,5.99900199600798,1.78957915831663,noparadigm
181,0,27,64,415.079,324.48,51.477,15.061,11.062,20.749,27.9700598802395,7.874749498998,noparadigm
182,0,24,50,426.846,348.554,17.216,16.173,22.695,23.144,28.060878243513,15.5380761523046,noparadigm
183,26,24,50,983.209,74.269,77.683,54.805,47.405,42.016,12.2355289421158,3.77254509018036,noparadigm
184,26,24,50,452.51,22.396,48.511,18.536,31.426,20.861,17.4740518962076,4.33867735470942,noparadigm
185,25,24,50,148.197,11.781,3.379,2.891,14.366,11.366,2.16367265469062,0.593186372745491,noparadigm
186,0,35,67,1096.084,29.884,11.65,10.286,5.943,5.304,2.91217564870259,2.46092184368737,noparadigm
187,0,14,51,275.939,37.419,4.461,3.473,2.951,0.951,0.619760479041916,0.460921843687375,noparadigm
188,0,24,47,177.622,132.435,6.58,17.706,12.991,29.025,9.10179640718563,3.23346693386774,noparadigm
189,0,26,69,137.212,50.592,37.121,13.575,14.154,7.171,11.5578842315369,3.20040080160321,noparadigm
190,0,29,69,637.78,546.437,212.242,141.962,27.437,139.75,78.1646706586826,69.9128256513026,noparadigm
191,0,48,75,1652.116,120.694,16.304,41.709,51.04,33.093,12.4690618762475,11.6653306613226,noparadigm
192,0,41,83,1770.649,414.522,62.85,72.376,5.7,47.518,20.2624750499002,6.69539078156313,noparadigm
