count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma
1273,0,77,64,3.38739991188049,0.453900009393692,0.395000010728836,0.125900000333786,0.197799995541573,0.44990000128746,9.26999971270561E-2,2.12059998512268
1274,0,69,66,3.33119988441467,10.2300996780396,5.54879999160767,1.03180003166199,0.734899997711182,1.37329995632172,0.241500005125999,7.80749988555908
1275,0,70,63,1.1797000169754,2.4342999458313,1.4264999628067,0.739600002765656,0.495099991559982,0.862399995326996,0.284000009298325,6.92509984970093
1276,0,77,77,12.7163000106812,1.03020000457764,2.23679995536804,1.0188000202179,1.28260004520416,0.916899979114532,0.404300004243851,8.29749965667725
1296,0,83,47,1.43949997425079,2.5929000377655,0.361200004816055,1.07829999923706,1.69790005683899,1.807000041008,0.263999998569489,6.96640014648438
1297,0,75,57,1.64919996261597,3.23300004005432,0.728900015354156,0.957199990749359,0.767199993133545,1.25899994373322,8.64000022411346E-2,6.95440006256104
1490,0,67,70,6.88590002059937,1.32920002937317,0.590499997138977,0.860499978065491,2.21259999275208,1.65859997272491,0.435900002717972,6.72149991989136
1491,0,87,64,11.2447996139526,0.897000014781952,1.82260000705719,0.284599989652634,1.35010004043579,1.41989994049072,0.235300004482269,5.73360013961792
1492,0,93,64,1.80980002880096,2.71079993247986,2.11680006980896,0.766200006008148,1.70879995822906,0.826399981975555,0.336699992418289,6.22440004348755
1493,0,81,67,27.1497993469238,1.82990002632141,1.46000003814697,0.349700003862381,0.136899992823601,0.243900001049042,5.75000010430813E-2,1.32809996604919
1494,52,81,67,124.252799987793,0.967400014400482,0.257299989461899,0.142900004982948,9.26000028848648E-2,6.44000023603439E-2,1.53000000864267E-2,0.103799998760223
1495,0,70,70,3.97699999809265,0.347799986600876,0.124499998986721,8.13999995589256E-2,0.12950000166893,0.126900002360344,1.16999996826053E-2,0.393200010061264
1496,0,54,69,56.7654991149902,7.67360019683838,3.88820004463196,1.60459995269775,1.12689995765686,1.28610002994537,0.573599994182587,6.92519998550415
1497,0,48,66,0.987299978733063,3.6603000164032,1.12080001831055,1.45009994506836,1.05739998817444,0.634800016880035,0.318300008773804,4.69630002975464
1498,0,70,56,3.39989995956421,0.775200009346008,0.244100004434586,0.448599994182587,0.423099994659424,0.930999994277954,0.322299987077713,5.77820014953613
1499,0,61,64,38.7785987854004,4.72389984130859,2.90350008010864,2.64650011062622,0.607200026512146,0.881600022315979,0.429399996995926,5.9423999786377
1500,25,61,64,40.0549011230469,7.42339992523193,1.14750003814697,1.20860004425049,1.58399999141693,0.941200017929077,7.24000036716461E-2,1.12109994888306
1501,0,60,74,82.3929977416992,0.486900001764297,0.554199993610382,0.328700006008148,0.212200000882149,0.100100003182888,3.57000008225441E-2,0.259600013494492
1502,0,67,74,45.6035995483398,0.621999979019165,2.23999992012978E-2,0.499300003051758,0.207599997520447,0.251199990510941,8.9199997484684E-2,1.60259997844696
